Date,Open,High,Low,Close,Adj Close,Volume
2007-06-18,63.549999,63.549999,63.000000,63.070000,54.122105,18700
2007-06-19,63.299999,63.419998,63.080002,63.419998,54.422436,28500
2007-06-20,63.700001,63.700001,62.750000,62.750000,53.847496,22000
2007-06-21,62.439999,63.049999,62.180000,62.869999,53.950474,21000
2007-06-22,62.830002,62.830002,62.070000,62.439999,53.581474,18400
2007-06-25,62.650002,62.799999,61.980000,62.209999,53.384106,28400
2007-06-26,62.500000,62.500000,61.919998,62.090000,53.281139,7700
2007-06-27,61.750000,62.480000,61.619999,62.480000,53.615795,23800
2007-06-28,62.549999,62.810001,62.439999,62.509998,53.687084,37300
2007-06-29,62.700001,63.189999,62.490002,62.830002,53.961914,17800
2007-07-02,62.900002,63.669998,62.900002,63.669998,54.683353,31800
2007-07-03,64.050003,64.139999,63.869999,63.970001,54.941010,20400
2007-07-05,64.190002,64.379997,64.070000,64.360001,55.275978,36400
2007-07-06,64.379997,64.629997,64.290001,64.470001,55.370453,24700
2007-07-09,64.959999,65.199997,64.750000,65.120003,55.928699,69200
2007-07-10,64.800003,64.800003,64.190002,64.190002,55.129955,35200
2007-07-11,64.440002,64.650002,64.080002,64.510002,55.404808,448400
2007-07-12,64.849998,65.339996,64.809998,65.290001,56.074722,17300
2007-07-13,65.400002,65.769997,65.279999,65.760002,56.478378,20200
2007-07-16,65.459999,65.699997,65.279999,65.529999,56.280849,82800
2007-07-17,65.800003,66.419998,65.750000,66.099998,56.770370,24600
2007-07-18,66.000000,66.019997,65.360001,65.839996,56.547085,14700
2007-07-19,66.360001,66.820000,66.290001,66.750000,57.328663,31700
2007-07-20,66.500000,66.500000,65.849998,65.919998,56.615784,61100
2007-07-23,66.300003,66.639999,66.260002,66.309998,56.950741,53800
2007-07-24,66.209999,66.269997,65.150002,65.330002,56.109066,39900
2007-07-25,66.260002,66.489998,65.540001,66.010002,56.693066,64900
2007-07-26,65.129997,65.900002,63.810001,64.510002,55.404808,80700
2007-07-27,64.349998,64.970001,63.910000,63.910000,54.889484,39800
2007-07-30,63.959999,64.919998,63.900002,64.739998,55.602333,21900
2007-07-31,65.400002,65.400002,63.730000,63.730000,54.734886,66900
2007-08-01,63.959999,64.589996,63.349998,64.540001,55.430565,64700
2007-08-02,64.849998,65.839996,64.849998,65.790001,56.504139,70900
2007-08-03,65.739998,66.239998,64.599998,64.599998,55.482101,75200
2007-08-06,64.879997,65.330002,64.430000,65.330002,56.109066,78400
2007-08-07,64.879997,65.680000,64.470001,65.339996,56.117649,57200
2007-08-08,65.449997,65.620003,64.720001,65.449997,56.212120,152300
2007-08-09,64.400002,64.879997,63.340000,63.340000,54.399937,80400
2007-08-10,62.299999,64.680000,62.110001,64.360001,55.275978,189800
2007-08-13,65.050003,65.199997,64.510002,64.620003,55.499283,34900
2007-08-14,64.639999,64.639999,62.750000,62.750000,53.893219,71200
2007-08-15,62.580002,63.119999,61.509998,61.599998,52.905525,38900
2007-08-16,60.599998,61.720001,59.430000,61.540001,52.853992,269600
2007-08-17,63.950001,63.950001,62.279999,63.430000,54.477230,68000
2007-08-20,63.700001,64.019997,62.950001,63.820000,54.812180,36100
2007-08-21,63.680000,64.010002,63.590000,63.689999,54.700535,31400
2007-08-22,64.239998,64.889999,64.239998,64.720001,55.585163,141200
2007-08-23,65.300003,65.300003,63.599998,63.980000,54.949615,126200
2007-08-24,64.139999,65.260002,64.099998,65.260002,56.048939,129100
2007-08-27,65.029999,65.419998,64.830002,65.160004,55.963055,85000
2007-08-28,64.800003,64.900002,63.000000,63.020000,54.125103,40100
2007-08-29,63.599998,64.559998,63.590000,64.559998,55.447731,36800
2007-08-30,64.339996,65.040001,64.199997,64.540001,55.430565,659500
2007-08-31,65.349998,65.550003,65.050003,65.089996,55.902935,57600
2007-09-04,65.050003,65.559998,64.650002,65.330002,56.109066,97700
2007-09-05,65.279999,65.279999,64.370003,64.660004,55.533623,40300
2007-09-06,64.849998,65.070000,64.339996,65.019997,55.842812,85400
2007-09-07,64.099998,64.559998,64.000000,64.139999,55.087025,70200
2007-09-10,64.309998,64.639999,63.410000,64.209999,55.147167,28000
2007-09-11,64.500000,65.220001,64.290001,65.150002,55.954479,67400
2007-09-12,65.050003,65.449997,65.029999,65.239998,56.031773,27000
2007-09-13,65.750000,65.830002,65.379997,65.419998,56.186359,38900
2007-09-14,65.209999,66.099998,65.209999,66.010002,56.693066,1022900
2007-09-17,66.000000,66.010002,65.400002,65.550003,56.298012,61400
2007-09-18,65.800003,67.169998,65.540001,67.099998,57.629234,78800
2007-09-19,67.500000,67.769997,67.370003,67.519997,57.989990,114700
2007-09-20,67.800003,68.010002,67.559998,67.870003,58.290558,51900
2007-09-21,68.300003,68.629997,68.120003,68.330002,58.685627,77500
2007-09-24,68.459999,68.550003,67.779999,68.089996,58.479504,187900
2007-09-25,67.940002,69.010002,67.889999,68.989998,59.302116,54900
2007-09-26,69.349998,69.730003,69.269997,69.620003,59.843670,59400
2007-09-27,69.589996,69.889999,69.160004,69.889999,60.075726,55100
2007-09-28,69.989998,70.209999,69.300003,69.629997,59.852238,73000
2007-10-01,70.089996,71.160004,70.070000,70.919998,60.961102,132200
2007-10-02,71.050003,71.279999,70.360001,70.550003,60.643066,60800
2007-10-03,70.519997,70.519997,69.860001,70.019997,60.187469,142700
2007-10-04,70.220001,70.730003,70.059998,70.580002,60.668816,44400
2007-10-05,71.099998,71.209999,70.639999,71.000000,61.029873,88700
2007-10-08,71.000000,71.260002,70.680000,70.900002,60.943909,65600
2007-10-09,71.239998,71.720001,70.940002,71.720001,61.648746,66500
2007-10-10,71.699997,71.760002,70.260002,70.809998,60.866516,795500
2007-10-11,71.300003,71.449997,69.900002,70.250000,60.385197,76600
2007-10-12,70.150002,70.959999,69.970001,70.959999,60.995476,45000
2007-10-15,70.739998,70.910004,69.589996,69.989998,60.161682,79700
2007-10-16,69.599998,70.150002,69.379997,70.120003,60.273453,47000
2007-10-17,70.349998,70.519997,69.129997,69.940002,60.118706,80400
2007-10-18,69.919998,70.320000,69.820000,70.169998,60.316387,42500
2007-10-19,69.849998,69.849998,68.129997,68.129997,58.562874,108100
2007-10-22,67.449997,68.750000,67.260002,68.750000,59.095818,214300
2007-10-23,69.169998,69.599998,68.750000,69.599998,59.826454,89000
2007-10-24,69.769997,70.330002,69.029999,69.769997,59.972580,111800
2007-10-25,70.400002,70.629997,70.029999,70.489998,60.591457,40900
2007-10-26,70.900002,70.900002,69.970001,70.250000,60.385197,55600
2007-10-29,70.269997,70.669998,70.150002,70.500000,60.600075,50100
2007-10-30,70.150002,70.529999,69.900002,69.989998,60.161682,42700
2007-10-31,70.209999,71.040001,69.709999,70.970001,61.004078,62200
2007-11-01,70.519997,70.620003,69.699997,69.800003,59.998375,74600
2007-11-02,70.300003,70.650002,69.599998,70.580002,60.668816,43600
2007-11-05,70.680000,70.889999,70.110001,70.570000,60.660229,41000
2007-11-06,70.750000,71.650002,70.269997,71.650002,61.588581,40300
2007-11-07,71.449997,71.449997,70.040001,70.050003,60.213238,51100
2007-11-08,70.510002,70.510002,69.000000,69.910004,60.092941,85700
2007-11-09,69.070000,69.360001,68.589996,68.889999,59.216175,48800
2007-11-12,68.500000,69.050003,67.879997,67.900002,58.365185,54000
2007-11-13,67.919998,69.430000,67.919998,69.389999,59.645954,48200
2007-11-14,70.000000,70.000000,68.820000,68.889999,59.216175,59500
2007-11-15,68.629997,68.639999,67.800003,67.919998,58.382374,52400
2007-11-16,68.459999,68.459999,67.300003,67.910004,58.373791,44700
2007-11-19,67.449997,67.709999,66.910004,66.959999,57.557159,88500
2007-11-20,66.650002,67.709999,65.430000,66.870003,57.479820,877500
2007-11-21,66.430000,66.870003,66.000000,66.089996,56.809334,61900
2007-11-23,67.099998,67.309998,66.400002,67.309998,57.858040,26900
2007-11-26,67.959999,68.290001,66.570000,66.570000,57.221958,32900
2007-11-27,67.099998,67.790001,66.980003,67.529999,58.047127,58100
2007-11-28,68.250000,69.650002,67.820000,69.589996,59.817852,84600
